"INDEX_NAME","INDEX_CLASS","METRIC_NAME","SAMPLEID","METRIC_VALUE","LEVEL","NUMERIC_RULES","SYMBOL","LOWER","UPPER","INCREASE","DESCRIPTION","RULE_TYPE","EXC_RULE","NOTE_RULE","SITE_TYPE","INDEX_REGION","MEMBERSHIP","NAME_WIDE"
"NM_Bugs_BCG","sandybottomrivers","ni_total_300","Samp9154",7,3,">=50% (40 - 60)",">=",40,60,TRUE,"% target sub-sample size. Calculated as 100*(ni_total / target sub-sample size). Target sub-sample size is 300 individuals.","Rule0","SMALL3",NA,"bugs","bugs",0,"sandybottomrivers_L3_Rule0_ni_total_300"
"NM_Bugs_BCG","sandybottomrivers","ni_total_300","Samp9154",7,2,">=50% (40 - 60)",">=",40,60,TRUE,"% target sub-sample size. Calculated as 100*(ni_total / target sub-sample size). Target sub-sample size is 300 individuals.","Rule0","SMALL2",NA,"bugs","bugs",0,"sandybottomrivers_L2_Rule0_ni_total_300"
"NM_Bugs_BCG","sandybottomrivers","ni_total_300","Samp9154",7,4,">=50% (40 - 60)",">=",40,60,TRUE,"% target sub-sample size. Calculated as 100*(ni_total / target sub-sample size). Target sub-sample size is 300 individuals.","Rule0","SMALL2",NA,"bugs","bugs",0,"sandybottomrivers_L4_Rule0_ni_total_300"
"NM_Bugs_BCG","sandybottomrivers","ni_total_300","Samp9160",8,3,">=50% (40 - 60)",">=",40,60,TRUE,"% target sub-sample size. Calculated as 100*(ni_total / target sub-sample size). Target sub-sample size is 300 individuals.","Rule0","SMALL3",NA,"bugs","bugs",0,"sandybottomrivers_L3_Rule0_ni_total_300"
"NM_Bugs_BCG","sandybottomrivers","ni_total_300","Samp9160",8,2,">=50% (40 - 60)",">=",40,60,TRUE,"% target sub-sample size. Calculated as 100*(ni_total / target sub-sample size). Target sub-sample size is 300 individuals.","Rule0","SMALL2",NA,"bugs","bugs",0,"sandybottomrivers_L2_Rule0_ni_total_300"
"NM_Bugs_BCG","sandybottomrivers","ni_total_300","Samp9160",8,4,">=50% (40 - 60)",">=",40,60,TRUE,"% target sub-sample size. Calculated as 100*(ni_total / target sub-sample size). Target sub-sample size is 300 individuals.","Rule0","SMALL2",NA,"bugs","bugs",0,"sandybottomrivers_L4_Rule0_ni_total_300"
"NM_Bugs_BCG","sandybottomrivers","ni_total_300","Samp9142",100,3,">=50% (40 - 60)",">=",40,60,TRUE,"% target sub-sample size. Calculated as 100*(ni_total / target sub-sample size). Target sub-sample size is 300 individuals.","Rule0","SMALL3",NA,"bugs","bugs",1,"sandybottomrivers_L3_Rule0_ni_total_300"
"NM_Bugs_BCG","sandybottomrivers","ni_total_300","Samp9142",100,2,">=50% (40 - 60)",">=",40,60,TRUE,"% target sub-sample size. Calculated as 100*(ni_total / target sub-sample size). Target sub-sample size is 300 individuals.","Rule0","SMALL2",NA,"bugs","bugs",1,"sandybottomrivers_L2_Rule0_ni_total_300"
"NM_Bugs_BCG","sandybottomrivers","ni_total_300","Samp9142",100,4,">=50% (40 - 60)",">=",40,60,TRUE,"% target sub-sample size. Calculated as 100*(ni_total / target sub-sample size). Target sub-sample size is 300 individuals.","Rule0","SMALL2",NA,"bugs","bugs",1,"sandybottomrivers_L4_Rule0_ni_total_300"
"NM_Bugs_BCG","sandybottomrivers","ni_total_300","Samp9143",24.3333333333333,3,">=50% (40 - 60)",">=",40,60,TRUE,"% target sub-sample size. Calculated as 100*(ni_total / target sub-sample size). Target sub-sample size is 300 individuals.","Rule0","SMALL3",NA,"bugs","bugs",0,"sandybottomrivers_L3_Rule0_ni_total_300"
"NM_Bugs_BCG","sandybottomrivers","ni_total_300","Samp9143",24.3333333333333,2,">=50% (40 - 60)",">=",40,60,TRUE,"% target sub-sample size. Calculated as 100*(ni_total / target sub-sample size). Target sub-sample size is 300 individuals.","Rule0","SMALL2",NA,"bugs","bugs",0,"sandybottomrivers_L2_Rule0_ni_total_300"
"NM_Bugs_BCG","sandybottomrivers","ni_total_300","Samp9143",24.3333333333333,4,">=50% (40 - 60)",">=",40,60,TRUE,"% target sub-sample size. Calculated as 100*(ni_total / target sub-sample size). Target sub-sample size is 300 individuals.","Rule0","SMALL2",NA,"bugs","bugs",0,"sandybottomrivers_L4_Rule0_ni_total_300"
"NM_Bugs_BCG","sandybottomrivers","ni_total_300","Samp9167",100,3,">=50% (40 - 60)",">=",40,60,TRUE,"% target sub-sample size. Calculated as 100*(ni_total / target sub-sample size). Target sub-sample size is 300 individuals.","Rule0","SMALL3",NA,"bugs","bugs",1,"sandybottomrivers_L3_Rule0_ni_total_300"
"NM_Bugs_BCG","sandybottomrivers","ni_total_300","Samp9167",100,2,">=50% (40 - 60)",">=",40,60,TRUE,"% target sub-sample size. Calculated as 100*(ni_total / target sub-sample size). Target sub-sample size is 300 individuals.","Rule0","SMALL2",NA,"bugs","bugs",1,"sandybottomrivers_L2_Rule0_ni_total_300"
"NM_Bugs_BCG","sandybottomrivers","ni_total_300","Samp9167",100,4,">=50% (40 - 60)",">=",40,60,TRUE,"% target sub-sample size. Calculated as 100*(ni_total / target sub-sample size). Target sub-sample size is 300 individuals.","Rule0","SMALL2",NA,"bugs","bugs",1,"sandybottomrivers_L4_Rule0_ni_total_300"
"NM_Bugs_BCG","sandybottomrivers","ni_total_300","Samp9169",100,3,">=50% (40 - 60)",">=",40,60,TRUE,"% target sub-sample size. Calculated as 100*(ni_total / target sub-sample size). Target sub-sample size is 300 individuals.","Rule0","SMALL3",NA,"bugs","bugs",1,"sandybottomrivers_L3_Rule0_ni_total_300"
"NM_Bugs_BCG","sandybottomrivers","ni_total_300","Samp9169",100,2,">=50% (40 - 60)",">=",40,60,TRUE,"% target sub-sample size. Calculated as 100*(ni_total / target sub-sample size). Target sub-sample size is 300 individuals.","Rule0","SMALL2",NA,"bugs","bugs",1,"sandybottomrivers_L2_Rule0_ni_total_300"
